Cycle,Class,Precision,Recall,F1-score,Accuracy,Confusion Matrix,Labelled Samples
15,vgood,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.9421965317919075,"[[72, 0, 4, 1], [0, 11, 0, 3], [7, 1, 234, 0], [2, 2, 0, 9]]",938
16,acc,0.8690476190476191,0.948051948051948,0.906832298136646,0.9393063583815029,"[[73, 0, 4, 0], [0, 11, 0, 3], [7, 1, 234, 0], [4, 2, 0, 7]]",988
16,good,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9393063583815029,"[[73, 0, 4, 0], [0, 11, 0, 3], [7, 1, 234, 0], [4, 2, 0, 7]]",988
16,unacc,0.9831932773109243,0.9669421487603306,0.975,0.9393063583815029,"[[73, 0, 4, 0], [0, 11, 0, 3], [7, 1, 234, 0], [4, 2, 0, 7]]",988
16,vgood,0.7,0.5384615384615384,0.608695652173913,0.9393063583815029,"[[73, 0, 4, 0], [0, 11, 0, 3], [7, 1, 234, 0], [4, 2, 0, 7]]",988
17,acc,0.8888888888888888,0.935064935064935,0.9113924050632912,0.9479768786127167,"[[72, 0, 5, 0], [0, 13, 0, 1], [5, 1, 236, 0], [4, 2, 0, 7]]",1038
17,good,0.8125,0.9285714285714286,0.8666666666666666,0.9479768786127167,"[[72, 0, 5, 0], [0, 13, 0, 1], [5, 1, 236, 0], [4, 2, 0, 7]]",1038
17,unacc,0.979253112033195,0.9752066115702479,0.9772256728778467,0.9479768786127167,"[[72, 0, 5, 0], [0, 13, 0, 1], [5, 1, 236, 0], [4, 2, 0, 7]]",1038
17,vgood,0.875,0.5384615384615384,0.6666666666666667,0.9479768786127167,"[[72, 0, 5, 0], [0, 13, 0, 1], [5, 1, 236, 0], [4, 2, 0, 7]]",1038
18,acc,0.8987341772151899,0.922077922077922,0.9102564102564102,0.9479768786127167,"[[71, 0, 6, 0], [0, 13, 0, 1], [4, 1, 237, 0], [4, 2, 0, 7]]",1088
18,good,0.8125,0.9285714285714286,0.8666666666666666,0.9479768786127167,"[[71, 0, 6, 0], [0, 13, 0, 1], [4, 1, 237, 0], [4, 2, 0, 7]]",1088
18,unacc,0.9753086419753086,0.9793388429752066,0.977319587628866,0.9479768786127167,"[[71, 0, 6, 0], [0, 13, 0, 1], [4, 1, 237, 0], [4, 2, 0, 7]]",1088
18,vgood,0.875,0.5384615384615384,0.6666666666666667,0.9479768786127167,"[[71, 0, 6, 0], [0, 13, 0, 1], [4, 1, 237, 0], [4, 2, 0, 7]]",1088
19,acc,0.9102564102564102,0.922077922077922,0.9161290322580644,0.9508670520231214,"[[71, 0, 6, 0], [0, 13, 0, 1], [3, 1, 238, 0], [4, 2, 0, 7]]",1138
19,good,0.8125,0.9285714285714286,0.8666666666666666,0.9508670520231214,"[[71, 0, 6, 0], [0, 13, 0, 1], [3, 1, 238, 0], [4, 2, 0, 7]]",1138
19,unacc,0.9754098360655737,0.9834710743801653,0.9794238683127573,0.9508670520231214,"[[71, 0, 6, 0], [0, 13, 0, 1], [3, 1, 238, 0], [4, 2, 0, 7]]",1138
19,vgood,0.875,0.5384615384615384,0.6666666666666667,0.9508670520231214,"[[71, 0, 6, 0], [0, 13, 0, 1], [3, 1, 238, 0], [4, 2, 0, 7]]",1138
0,acc,0.6081081081081081,0.5844155844155844,0.5960264900662251,0.7976878612716763,"[[45, 6, 23, 3], [8, 3, 1, 2], [17, 0, 225, 0], [4, 6, 0, 3]]",188
0,good,0.2,0.21428571428571427,0.20689655172413796,0.7976878612716763,"[[45, 6, 23, 3], [8, 3, 1, 2], [17, 0, 225, 0], [4, 6, 0, 3]]",188
0,unacc,0.9036144578313253,0.9297520661157025,0.9164969450101833,0.7976878612716763,"[[45, 6, 23, 3], [8, 3, 1, 2], [17, 0, 225, 0], [4, 6, 0, 3]]",188
0,vgood,0.375,0.23076923076923078,0.2857142857142857,0.7976878612716763,"[[45, 6, 23, 3], [8, 3, 1, 2], [17, 0, 225, 0], [4, 6, 0, 3]]",188
1,acc,0.6197183098591549,0.5714285714285714,0.5945945945945946,0.8063583815028902,"[[44, 7, 22, 4], [8, 3, 2, 1], [14, 0, 228, 0], [5, 3, 1, 4]]",238
1,good,0.23076923076923078,0.21428571428571427,0.22222222222222224,0.8063583815028902,"[[44, 7, 22, 4], [8, 3, 2, 1], [14, 0, 228, 0], [5, 3, 1, 4]]",238
1,unacc,0.9011857707509882,0.9421487603305785,0.9212121212121213,0.8063583815028902,"[[44, 7, 22, 4], [8, 3, 2, 1], [14, 0, 228, 0], [5, 3, 1, 4]]",238
1,vgood,0.4444444444444444,0.3076923076923077,0.3636363636363637,0.8063583815028902,"[[44, 7, 22, 4], [8, 3, 2, 1], [14, 0, 228, 0], [5, 3, 1, 4]]",238
2,acc,0.6933333333333334,0.6753246753246753,0.6842105263157895,0.8410404624277457,"[[52, 2, 20, 3], [11, 1, 2, 0], [10, 1, 231, 0], [2, 3, 1, 7]]",288
2,good,0.14285714285714285,0.07142857142857142,0.09523809523809523,0.8410404624277457,"[[52, 2, 20, 3], [11, 1, 2, 0], [10, 1, 231, 0], [2, 3, 1, 7]]",288
2,unacc,0.9094488188976378,0.9545454545454546,0.9314516129032259,0.8410404624277457,"[[52, 2, 20, 3], [11, 1, 2, 0], [10, 1, 231, 0], [2, 3, 1, 7]]",288
